Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,Tyre_Radius,Speed_mps,Wheel_Omega,R_eff,Slip_Ratio,Traction_Health,Speed_Change,Throttle_Change,Hard_Braking,High_RPM,Full_Throttle,RPM_Danger,Inconsistent_Combo,Gear_Ratio,Expected_RPM,RPM_Deviation,RPM_Deviation_Ratio,Gear_Speed_Mismatch,RPM_per_Gear,Speed_per_Gear,RPM_Speed_Ratio,Throttle_RPM_Product,Throttle_Brake_Conflict,RPM_Hours,Brake_Usage,High_Speed_Miles,Stress_Score,Needs_Maintenance
2023-05-28 13:45:26.752,10705.0,256.0,7,100.0,0,0,car,0 days 00:00:09.545000,0 days 01:44:25.775000,511.8291666666666,720,71.11111111111111,1121.024978555958,0.06343401120221111,-8.92040828649551e-10,0.95,4.0,0.0,0,0,1,0,0,0.95,24320.0,13615.0,0.5598273026085597,0,1529.2854958163578,36.57142334693952,41.816406086654666,1.0705,0,5.731133333333336,5,323.99999999999994,0.5213503336824358,0
2023-05-28 13:45:26.912,10550.0,259.0,7,100.0,0,0,car,0 days 00:00:09.705000,0 days 01:44:25.935000,523.3402777777777,720,71.94444444444444,1104.7934165124107,0.06512026891546559,-9.051466724360045e-10,0.95,3.0,0.0,0,0,1,0,0,0.95,24605.0,14055.0,0.5712253606758291,0,1507.1426418367655,36.999994714286466,40.733590576318186,1.055,0,5.906966666666669,5,335.51111111111106,0.5174467070874055,0
2023-05-28 13:45:27.192,10808.0,261.0,7,100.0,0,0,car,0 days 00:00:09.985000,0 days 01:44:26.215000,543.6402777777777,720,72.5,1131.8111133332827,0.06405662489249159,-8.83539592510752e-10,0.95,2.0,0.0,0,0,1,0,0,0.95,24795.0,13987.0,0.5641056664422623,0,1543.999779428603,37.28570895918443,41.409961527164896,1.0808,0,6.087100000000002,5,355.811111111111,0.5239443565165526,0
2023-05-28 13:45:27.512,10934.0,263.0,7,100.0,0,0,car,0 days 00:00:10.305000,0 days 01:44:26.535000,567.0180555555555,720,73.05555555555556,1145.0058024783598,0.06380365525975806,-8.733579884134332e-10,0.95,2.0,0.0,0,0,1,0,0,0.95,24985.0,14051.0,0.562377426433365,0,1561.9997768571748,37.5714232040824,41.57414432861542,1.0934,0,6.269333333333336,5,379.18888888888887,0.5271176271679966,0
2023-05-28 13:45:27.832,11267.0,264.0,7,100.0,0,0,car,0 days 00:00:10.625000,0 days 01:44:26.855000,590.4847222222222,720,73.33333333333334,1179.8774809332067,0.06215334596705589,-8.475458280138583e-10,0.95,1.0,0.0,0,0,1,0,0,0.95,25080.0,13813.0,0.5507575757356157,0,1609.5711986326858,37.71428032653138,42.678030141371096,1.1267,0,6.457116666666669,5,402.65555555555557,0.5355041281753841,0
2023-05-28 13:45:27.992,11052.0,264.0,7,100.0,0,0,car,0 days 00:00:10.785000,0 days 01:44:27.015000,602.2180555555556,720,73.33333333333334,1157.3627335824797,0.06336244562063634,-8.640333906191936e-10,0.95,0.0,0.0,0,0,1,0,0,0.95,25080.0,14028.0,0.559330143518368,0,1578.8569173061546,37.71428032653138,41.86363620506199,1.1052,0,6.641316666666668,5,414.3888888888889,0.5300894203177615,0
2023-05-28 13:45:28.152,11184.0,262.0,7,86.0,1,0,car,0 days 00:00:10.945000,0 days 01:44:27.175000,613.8625000000001,720,72.77777777777779,1171.185741258275,0.06214025252514431,-8.538356103207812e-10,0.95,-2.0,-14.0,0,0,0,0,0,0.95,24889.999999999996,13705.999999999996,0.550662916811946,0,1597.7140574694204,37.42856608163341,42.68702273783579,0.961824,1,6.827716666666668,6,426.0333333333334,0.9487634494451149,1
2023-05-28 13:45:28.472,9868.0,240.0,7,0.0,1,0,car,0 days 00:00:11.265000,0 days 01:44:27.495000,635.1958333333334,720,66.66666666666667,1033.3745435208027,0.06451355611588186,-9.677035560934932e-10,0.95,-22.0,-86.0,1,0,0,0,0,0.95,22800.0,12932.0,0.5671929824312635,0,1409.7140843265593,34.2857093877558,41.116666495347225,0.0,0,6.992183333333335,7,447.3666666666668,0.5009700507685733,0
2023-05-28 13:45:28.712,9308.0,226.0,7,0.0,1,0,car,0 days 00:00:11.505000,0 days 01:44:27.735000,650.2625000000002,720,62.77777777777778,974.7314806537931,0.06440520180107952,-1.0259234006738901e-09,0.95,-14.0,0.0,0,0,0,0,0,0.95,21470.0,12162.0,0.5664648346266201,0,1329.7140957551292,32.285709673470045,41.18584052572637,0.0,0,7.1473166666666685,8,462.4333333333335,0.4872162760006951,0
2023-05-28 13:45:29.072,10214.0,212.0,6,0.0,1,0,car,0 days 00:00:11.865000,0 days 01:44:28.095000,671.4625000000001,720,58.88888888888889,1069.6075787922048,0.05505653662283262,-9.349223425228667e-10,0.95,-14.0,0.0,0,0,0,0,1,1.1,23320.0,13106.0,0.562006861039365,0,1702.3330496111585,35.33332744444542,48.17924505575828,0.0,0,7.3175500000000016,9,483.63333333333344,0.7603832534154898,1
