Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
2023-05-28 13:45:29.672,9814.0,183.0,5,0.0,1,0,car,0 days 00:00:12.465000,0 days 01:44:28.695000,702.7402777777778
2023-05-28 13:45:29.832,9465.0,179.0,5,2.0,1,0,car,0 days 00:00:12.625000,0 days 01:44:28.855000,710.6958333333333
2023-05-28 13:45:30.112,9251.0,171.0,5,4.0,1,0,car,0 days 00:00:12.905000,0 days 01:44:29.135000,723.9958333333333
2023-05-28 13:45:30.432,8767.0,164.0,5,6.0,0,0,car,0 days 00:00:13.225000,0 days 01:44:29.455000,738.5736111111111
2023-05-28 13:45:30.632,8439.0,159.0,5,9.0,0,0,car,0 days 00:00:13.425000,0 days 01:44:29.655000,747.4069444444444
2023-05-28 13:45:30.872,8401.0,154.0,5,36.0,0,0,car,0 days 00:00:13.665000,0 days 01:44:29.895000,757.6736111111111
2023-05-28 13:45:31.072,8344.0,152.0,5,39.0,0,0,car,0 days 00:00:13.865000,0 days 01:44:30.095000,766.1180555555555
2023-05-28 13:45:31.472,8579.0,155.0,5,52.0,0,0,car,0 days 00:00:14.265000,0 days 01:44:30.495000,783.3402777777778
2023-05-28 13:45:31.752,8819.0,156.0,5,67.0,0,0,car,0 days 00:00:14.545000,0 days 01:44:30.775000,795.4736111111112
2023-05-28 13:45:31.952,8831.0,160.0,5,67.0,0,0,car,0 days 00:00:14.745000,0 days 01:44:30.975000,804.3625
2023-05-28 13:45:32.272,9149.0,167.0,5,59.0,0,0,car,0 days 00:00:15.065000,0 days 01:44:31.295000,819.2069444444444
2023-05-28 13:45:32.472,8695.0,161.0,5,16.0,1,0,car,0 days 00:00:15.265000,0 days 01:44:31.495000,828.1513888888888
2023-05-28 13:45:32.752,9236.0,157.0,4,0.0,1,0,car,0 days 00:00:15.545000,0 days 01:44:31.775000,840.3625
2023-05-28 13:45:33.032,8504.0,144.0,4,0.0,1,0,car,0 days 00:00:15.825000,0 days 01:44:32.055000,851.5624999999999
2023-05-28 13:45:33.192,8408.0,138.0,4,0.0,1,0,car,0 days 00:00:15.985000,0 days 01:44:32.215000,857.6958333333332
2023-05-28 13:45:33.592,8058.0,130.0,4,28.0,0,0,car,0 days 00:00:16.385000,0 days 01:44:32.615000,872.1402777777778
2023-05-28 13:45:34.032,8596.0,131.0,4,59.0,0,0,car,0 days 00:00:16.825000,0 days 01:44:33.055000,888.1513888888888
2023-05-28 13:45:34.352,9005.0,139.0,4,74.0,0,0,car,0 days 00:00:17.145000,0 days 01:44:33.375000,900.5069444444445
2023-05-28 13:45:34.632,9552.0,145.0,4,87.0,0,0,car,0 days 00:00:17.425000,0 days 01:44:33.655000,911.7847222222224
2023-05-28 13:45:34.833,10710.0,157.0,4,91.0,0,0,car,0 days 00:00:17.626000,0 days 01:44:33.856000,920.5505555555555
